Marital_status,Course,Nacionality,Admission_grade,Gender,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Status
Single,Journalism and Communication,Portuguese,120.3,Male,19,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,Graduate
Single,Nursing,Portuguese,130.8,Male,22,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,Graduate
Married,Social Service (evening attendance),Portuguese,117.0,Male,33,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,Graduate
Single,Basic Education,Portuguese,110.2,Male,20,0,6,8,5,12.2,0,0,6,7,5,12.2,0,Dropout
Single,Management (evening attendance),Portuguese,155.7,Male,35,0,1,1,0,0.0,1,0,5,0,0,0.0,0,Dropout
Single,Agronomy,Portuguese,180.4,Male,24,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,Dropout
Single,Tourism,Portuguese,125.5,Male,18,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,Enrolled
Married,Social Service (evening attendance),Portuguese,110.0,Female,33,0,6,7,6,11.0,0,0,6,11,5,11.0,0,Graduate
Single,Nursing,Portuguese,161.0,Female,22,0,8,8,7,13.08,0,0,8,8,7,13.08,0,Graduate
Single,Advertising and Marketing Management,Portuguese,100.0,Female,25,0,5,7,4,10.5,0,0,5,7,5,11.6,0,Graduate
Single,Communication Design,Portuguese,117.6,Male,20,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,Graduate
Single,Management,Portuguese,128.7,Male,23,0,5,6,4,14.0,0,0,5,5,5,13.8,0,Enrolled
Single,Informatics Engineering,Portuguese,112.2,Male,18,0,5,9,2,10.0,0,0,5,9,0,0.0,0,Enrolled
Single,Nursing,Portuguese,100.8,Male,24,0,7,18,0,0.0,0,0,7,7,0,0.0,0,Dropout
Single,Journalism and Communication,Brazilian,105.0,Female,21,0,6,6,6,14.0,0,0,6,6,6,13.5,0,Graduate
Single,Equinculture,Brazilian,100.0,Female,26,0,6,7,2,12.0,1,0,6,6,0,0.0,0,Dropout
Married,Basic Education,Portuguese,115.5,Female,39,0,6,12,3,12.666666666666666,0,0,6,14,0,0.0,1,Dropout
Married,Social Service (evening attendance),Portuguese,114.0,Female,44,2,8,11,8,11.875,0,0,6,7,6,12.333333333333334,0,Graduate
Single,Informatics Engineering,Santomean,137.0,Male,19,0,5,9,5,14.0,0,0,5,11,3,13.25,0,Enrolled
Single,Journalism and Communication,Portuguese,124.9,Female,18,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,Graduate
Single,Nursing,Portuguese,120.3,Female,18,0,7,7,7,13.75,0,0,8,9,8,14.47777777777778,0,Graduate
Single,Veterinary Nursing,Portuguese,134.3,Female,19,0,5,7,5,14.2,2,0,5,7,5,13.8,0,Enrolled
Single,Nursing,Portuguese,111.5,Female,19,0,7,10,4,11.96,0,0,7,7,0,0.0,0,Dropout
Single,Veterinary Nursing,Portuguese,128.8,Female,21,7,10,12,8,12.875,0,4,9,14,5,13.4,0,Dropout
Single,Animation and Multimedia Design,Portuguese,110.0,Female,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduate
Married,Social Service (evening attendance),Portuguese,113.5,Female,36,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout
Divorced,Agronomy,Portuguese,160.0,Female,43,13,18,19,18,14.63157894736842,0,10,13,14,13,14.23076923076923,1,Graduate
Single,Basic Education,Portuguese,117.4,Female,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout
Single,Communication Design,Portuguese,122.2,Female,20,4,10,12,10,13.0,0,5,11,11,11,12.272727272727272,0,Graduate
Single,Social Service,Portuguese,118.2,Female,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout
Single,Veterinary Nursing,Portuguese,106.7,Female,20,0,6,15,4,14.2,0,0,6,17,4,13.25,0,Dropout
Single,Nursing,Portuguese,108.2,Female,20,2,7,9,6,13.266666666666666,0,0,7,10,5,12.3,0,Dropout
Single,Basic Education,Portuguese,107.0,Female,20,0,7,12,6,11.666666666666666,0,0,7,10,3,13.0,0,Enrolled
Single,Social Service,Portuguese,136.1,Female,18,0,6,8,6,13.857142857142858,0,0,6,6,6,15.0,0,Graduate
Single,Management,Portuguese,115.3,Female,18,0,5,9,3,13.0,0,0,5,11,3,11.0,0,Enrolled
Single,Veterinary Nursing,Portuguese,139.8,Female,19,0,5,6,5,13.4,0,0,5,5,5,12.8,0,Graduate
Single,Journalism and Communication,Portuguese,157.0,Female,18,0,6,6,6,12.666666666666666,0,0,6,7,6,12.571428571428571,0,Graduate
Single,Nursing,Portuguese,131.0,Female,18,0,7,7,6,12.516666666666666,1,0,7,7,6,12.516666666666666,1,Dropout
Single,Nursing,Portuguese,100.0,Female,20,0,7,11,6,11.616666666666667,0,0,7,7,7,13.0,0,Enrolled
Single,Social Service,Portuguese,140.4,Female,20,0,6,13,2,10.0,0,0,6,12,4,10.75,0,Enrolled
Single,Management,Portuguese,113.4,Female,20,0,5,11,3,10.333333333333334,0,0,5,10,3,10.666666666666666,0,Enrolled
Single,Veterinary Nursing,Portuguese,137.0,Female,18,0,5,12,5,13.142857142857142,2,0,5,6,5,11.4,0,Graduate
Single,Management,Portuguese,121.8,Female,18,0,5,5,5,12.6,0,0,5,5,5,14.0,0,Graduate
Single,Tourism,Portuguese,131.0,Female,21,0,6,12,3,11.0,0,0,6,12,2,11.0,0,Dropout
Single,Management,Portuguese,118.6,Female,19,0,5,8,5,10.8,0,0,5,9,4,11.25,2,Graduate
Single,Animation and Multimedia Design,Portuguese,122.3,Female,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Dropout
Single,Advertising and Marketing Management,Portuguese,127.9,Female,19,0,5,5,5,12.8,0,0,5,5,5,14.2,0,Graduate
Single,Veterinary Nursing,Portuguese,121.3,Female,19,0,6,15,6,14.166666666666666,0,0,6,13,6,12.2,0,Graduate
Single,Oral Hygiene,Portuguese,117.1,Female,19,0,7,12,5,12.1,0,0,7,0,0,0.0,0,Dropout
Single,Veterinary Nursing,Portuguese,160.0,Female,20,1,6,7,6,14.166666666666666,0,1,6,17,5,13.77777777777778,0,Graduate
Single,Basic Education,Portuguese,145.3,Female,18,0,6,8,5,12.8,0,0,6,7,5,13.4,0,Enrolled
Single,Social Service,Portuguese,122.6,Female,18,0,6,7,6,13.0,0,0,6,6,6,13.666666666666666,0,Graduate
Single,Nursing,Portuguese,128.0,Female,19,0,7,7,7,13.467142857142855,0,0,8,9,8,15.011111111111113,0,Graduate
Single,Nursing,Portuguese,124.9,Female,18,0,7,9,7,13.2375,0,0,8,9,7,13.742857142857144,0,Dropout
Single,Communication Design,Portuguese,123.7,Female,18,0,6,6,6,12.333333333333334,0,0,6,6,6,13.0,0,Graduate
Single,Management,Portuguese,120.1,Female,19,0,5,7,5,12.4,0,0,5,5,5,14.6,0,Graduate
Single,Nursing,Portuguese,131.7,Female,19,0,7,8,5,14.0,0,0,7,7,0,0.0,0,Dropout
Single,Social Service,Portuguese,133.2,Female,20,5,9,15,9,11.666666666666666,0,2,7,8,7,11.714285714285714,0,Graduate
Single,Advertising and Marketing Management,Portuguese,109.3,Female,19,0,6,7,5,12.0,0,0,6,9,4,12.5,0,Dropout
Single,Advertising and Marketing Management,Portuguese,113.0,Female,20,0,5,7,4,12.2,0,0,5,5,4,11.5,0,Graduate
Single,Journalism and Communication,Portuguese,157.9,Female,18,0,6,6,6,14.833333333333334,0,0,6,6,6,14.833333333333334,0,Graduate
Single,Nursing,Portuguese,112.1,Female,20,0,7,9,5,13.188,0,0,8,9,7,12.892857142857142,0,Enrolled
Single,Nursing,Portuguese,174.7,Female,18,0,7,8,7,17.125,0,0,8,8,8,17.5875,0,Graduate
Single,Nursing,Portuguese,128.8,Female,19,0,7,7,6,12.666666666666666,0,0,7,7,6,12.666666666666666,0,Graduate
Single,Journalism and Communication,Portuguese,110.1,Female,19,0,6,8,6,12.666666666666666,0,0,6,10,5,12.0,0,Graduate
Single,Management,Portuguese,99.7,Female,22,0,5,8,0,0.0,0,0,5,7,0,0.0,0,Enrolled
Single,Social Service,Portuguese,121.0,Female,19,0,6,7,6,11.333333333333334,0,0,6,6,6,11.5,0,Graduate
Single,Nursing,Portuguese,131.7,Female,19,0,7,10,7,13.605,0,0,8,11,8,12.33125,0,Graduate
Single,Basic Education,Portuguese,119.1,Female,19,0,6,10,5,12.0,0,0,6,9,5,10.8,0,Graduate
Single,Tourism,Portuguese,124.7,Female,19,0,5,10,0,0.0,0,0,5,10,0,0.0,0,Dropout
Single,Tourism,Portuguese,117.2,Female,20,0,6,8,5,11.2,0,0,6,12,3,11.666666666666666,0,Dropout
Single,Management,Portuguese,128.8,Female,18,0,5,10,5,13.375,0,0,5,9,5,14.166666666666666,0,Graduate
Single,Nursing,Portuguese,131.5,Female,20,0,7,8,6,13.863333333333337,0,0,8,9,7,14.178571428571429,0,Graduate
Single,Animation and Multimedia Design,Portuguese,121.7,Female,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Enrolled
Single,Veterinary Nursing,Portuguese,123.4,Female,19,0,5,6,5,12.4,0,0,5,6,5,13.4,0,Graduate
Single,Basic Education,Portuguese,124.7,Female,18,0,6,11,3,12.333333333333334,0,0,6,10,5,10.833333333333334,0,Enrolled
Single,Basic Education,Portuguese,132.8,Female,18,0,6,7,6,13.333333333333334,0,0,6,8,5,11.8,0,Graduate
Single,Basic Education,Portuguese,108.7,Female,21,0,6,10,3,12.666666666666666,0,0,6,12,3,10.0,0,Dropout
Single,Basic Education,Portuguese,138.1,Female,19,0,6,8,6,12.0,0,0,6,10,4,11.5,0,Dropout
Single,Management,Portuguese,126.5,Female,18,0,5,5,5,10.6,0,0,5,5,5,11.8,0,Graduate
Single,Social Service,Portuguese,127.4,Female,18,0,6,8,6,12.25,0,0,6,7,6,11.857142857142858,0,Graduate
Single,Social Service,Portuguese,123.6,Female,20,0,6,10,4,11.0,0,0,6,9,6,11.833333333333334,0,Graduate
Single,Social Service (evening attendance),Portuguese,122.0,Female,24,0,6,11,5,11.0,0,0,6,9,5,12.6,0,Graduate
Single,Advertising and Marketing Management,Portuguese,118.2,Female,19,0,6,6,6,13.166666666666666,0,0,6,9,6,13.0,0,Dropout
Single,Nursing,Portuguese,123.9,Female,18,0,7,9,7,12.855555555555554,0,0,8,12,7,12.761111111111113,0,Graduate
Single,Nursing,Portuguese,125.8,Female,18,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,Graduate
Single,Basic Education,Portuguese,123.3,Female,21,0,6,13,4,11.5,0,0,6,10,3,11.0,0,Dropout
Single,Advertising and Marketing Management,Portuguese,124.4,Female,19,0,5,5,5,14.2,0,0,5,5,5,14.2,0,Graduate
Single,Journalism and Communication,Portuguese,126.0,Female,19,0,6,6,6,12.5,0,0,6,7,6,13.0,0,Graduate
,Agronomy,Portuguese,170.0,Female,47,0,1,1,0,0.0,0,0,6,0,0,0.0,0,Enrolled
Single,Social Service,Portuguese,121.5,Female,19,0,6,10,5,11.666666666666666,0,0,6,12,4,11.0,0,Graduate
Single,Nursing,Portuguese,130.0,Female,29,1,8,8,7,14.257142857142856,0,1,8,8,7,14.257142857142856,0,Graduate
Single,Social Service,Portuguese,117.0,Female,21,0,6,13,3,12.0,0,0,6,12,2,11.333333333333334,0,Dropout
Single,Veterinary Nursing,Portuguese,130.0,Female,28,0,5,13,4,11.25,1,0,5,11,4,10.5,0,Enrolled
Single,Oral Hygiene,Portuguese,108.0,Female,20,0,7,8,7,12.457142857142856,0,0,8,8,8,13.5625,0,Graduate
Single,Nursing,Portuguese,132.3,Female,19,0,7,7,6,11.683333333333332,0,0,7,7,6,11.683333333333332,0,Graduate
Single,Social Service (evening attendance),Portuguese,148.0,Female,26,0,6,10,3,11.666666666666666,0,0,6,8,5,12.0,0,Graduate
Single,Tourism,Portuguese,122.6,Female,20,0,6,8,4,11.75,0,0,6,6,6,13.166666666666666,0,Dropout
Single,Advertising and Marketing Management,Portuguese,123.0,Female,18,0,5,6,3,11.666666666666666,0,0,5,6,4,13.5,0,Enrolled
Single,Basic Education,Portuguese,102.5,Female,27,0,6,9,5,13.2,0,0,6,10,5,12.0,0,Graduate
Single,Nursing,Portuguese,113.3,Female,20,0,7,8,4,11.95,0,0,7,8,4,11.95,0,Dropout
Single,Basic Education,Portuguese,133.0,Female,18,0,6,8,5,12.4,0,0,6,12,5,10.4,0,Dropout
Single,Nursing,Portuguese,140.0,Female,33,2,7,8,6,14.35,0,3,8,10,6,14.583333333333334,0,Dropout
Single,Basic Education,Portuguese,128.3,Female,35,19,21,21,21,12.61904761904762,0,13,19,19,19,12.789473684210526,0,Graduate
Single,Management (evening attendance),Portuguese,140.0,Female,26,2,6,7,6,12.666666666666666,0,2,6,7,6,13.166666666666666,1,Enrolled
Single,Journalism and Communication,Portuguese,104.0,Female,27,0,6,6,5,12.0,0,0,6,6,0,0.0,0,Dropout
Single,Communication Design,Portuguese,122.3,Female,19,0,6,6,6,12.166666666666666,0,0,6,6,0,0.0,0,Dropout
Single,Tourism,Portuguese,135.0,Female,20,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout
Single,Management,Portuguese,119.1,Female,20,0,5,9,3,10.0,0,0,5,9,3,10.571428571428571,0,Dropout
Single,Social Service,Portuguese,126.6,Female,21,5,10,18,8,11.5,0,0,6,12,4,10.0,0,Enrolled
Single,Nursing,Portuguese,129.0,Female,18,0,7,7,6,13.05,0,0,7,7,6,13.05,0,Graduate
Single,Veterinary Nursing,Portuguese,162.3,Female,24,0,6,10,2,11.0,0,0,6,6,0,0.0,0,Dropout
Single,Communication Design,Portuguese,163.4,Female,20,0,6,7,6,11.5,0,0,6,6,6,12.0,0,Graduate
Single,Tourism,Portuguese,121.5,Female,21,0,6,7,6,12.0,0,0,6,6,6,12.5,0,Graduate
Single,Social Service (evening attendance),Portuguese,122.8,Female,23,0,6,13,2,10.0,0,0,5,12,1,10.0,0,Enrolled
Single,Management,Portuguese,118.0,Female,24,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Dropout
Single,Basic Education,Portuguese,134.0,Female,21,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout
Single,Nursing,Portuguese,129.8,Female,18,0,8,8,7,12.242857142857144,0,0,8,8,7,12.242857142857144,0,Graduate
Single,Management (evening attendance),Portuguese,152.0,Female,27,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Dropout
Single,Nursing,Portuguese,122.8,Female,18,0,8,8,8,12.93375,0,0,8,8,8,12.93375,0,Graduate
Single,Informatics Engineering,Portuguese,150.0,Female,35,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Dropout
Single,Basic Education,Portuguese,131.8,Female,18,0,7,9,7,12.571428571428571,0,0,7,8,7,14.428571428571429,0,Graduate
Single,Nursing,Portuguese,105.9,Female,35,0,3,4,3,11.816666666666668,0,0,3,3,3,11.333333333333334,0,Enrolled
Single,Veterinary Nursing,Portuguese,132.1,Female,19,0,5,9,4,13.75,0,0,5,13,4,14.333333333333334,2,Graduate
Single,Social Service,Portuguese,127.4,Female,20,0,6,8,6,11.166666666666666,0,0,6,6,6,11.333333333333334,0,Graduate
Single,Nursing,Portuguese,129.5,Female,18,0,8,8,7,12.324285714285711,0,0,8,8,7,12.324285714285711,0,Graduate
Single,Social Service,Portuguese,126.7,Female,21,3,6,6,6,12.166666666666666,0,2,6,7,6,11.714285714285714,0,Graduate
Single,Social Service,Portuguese,116.5,Female,18,0,6,11,5,11.142857142857142,0,0,6,11,4,11.25,0,Graduate
Single,Social Service,Portuguese,119.1,Female,18,0,6,9,4,11.0,0,0,6,9,4,10.75,0,Graduate
Single,Nursing,Portuguese,126.5,Female,18,0,8,8,7,12.914285714285713,0,0,8,8,7,12.914285714285713,0,Graduate
Single,Journalism and Communication,Portuguese,149.8,Female,18,0,6,6,6,13.833333333333334,0,0,6,6,6,14.166666666666666,0,Graduate
Single,Veterinary Nursing,Portuguese,115.1,Female,19,0,6,8,6,13.857142857142858,0,0,6,9,5,13.4,0,Graduate
Single,Tourism,Portuguese,124.5,Female,36,0,6,7,6,13.714285714285714,0,0,6,6,5,12.8,0,Dropout
Single,Nursing,Portuguese,128.3,Female,18,0,8,8,7,12.642857142857142,0,0,8,8,7,12.642857142857142,0,Graduate
Single,Nursing,Portuguese,136.0,Female,18,0,7,7,6,12.916666666666666,0,0,7,7,6,12.916666666666666,0,Graduate
Single,Equinculture,Portuguese,140.0,Female,20,0,6,8,6,15.625,0,0,6,8,6,15.857142857142858,0,Graduate
Single,Management (evening attendance),Portuguese,126.3,Female,26,0,5,7,0,0.0,0,0,5,8,0,0.0,0,Dropout
Single,Journalism and Communication,Portuguese,126.9,Female,21,0,6,8,6,11.714285714285714,0,0,6,7,6,12.0,0,Graduate
Single,Oral Hygiene,Portuguese,145.0,Female,25,0,7,10,6,12.125,0,0,8,9,8,13.3125,0,Enrolled
Single,Management,Portuguese,115.8,Female,19,0,5,7,5,11.6,0,0,5,5,5,11.6,0,Graduate
Single,Social Service (evening attendance),Portuguese,100.0,Female,24,0,6,11,1,10.0,0,0,6,6,0,0.0,6,Dropout
Single,Social Service (evening attendance),Portuguese,102.5,Female,27,0,6,16,1,10.0,0,0,6,13,0,0.0,0,Dropout
Single,Veterinary Nursing,Portuguese,131.5,Female,21,0,5,10,0,0.0,1,0,5,9,2,13.5,0,Dropout
Single,Management,Portuguese,147.0,Female,18,0,5,7,4,13.0,0,0,5,8,3,12.333333333333334,0,Graduate
