Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,1st phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary Edu,139.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 3rd Cycle,5,7,130.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,136.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 2nd Cycle,9,9,119.3,Yes,No,No,Yes,Female,Yes,18,No,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general contingent,2,Basic Education,Daytime,Secondary Edu,133.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,4,9,130.2,Yes,No,No,Yes,Female,No,19,No,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,Short cycle diploma holders,1,Tourism,Daytime,Prof. Higher Course,110.0,Portuguese,12th Year of Schooling,12th Year of Schooling,4,7,111.8,Yes,No,No,Yes,Female,Yes,21,No,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary Edu,149.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,5,5,137.1,Yes,No,No,Yes,Female,Yes,18,No,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary Edu,127.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,9,3,120.7,Yes,No,No,Yes,Female,No,20,No,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,3rd phase - general contingent,1,Social Service,Daytime,Secondary Edu,137.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 2nd Cycle,5,8,137.4,Yes,No,No,Yes,Female,No,18,No,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary Edu,135.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,5,4,127.3,Yes,No,No,Yes,Female,No,18,No,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
Single,1st phase - general contingent,1,Equinculture,Daytime,Secondary Edu,137.0,Portuguese,Degree,Basic Ed. 3rd Cycle,3,5,136.3,Yes,No,No,Yes,Female,No,20,No,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary Edu,140.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,7,7,124.6,Yes,No,No,Yes,Female,No,18,No,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,16.2,0.3,-0.92,Enrolled
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary Edu,122.0,Portuguese,12th Year of Schooling,12th Year of Schooling,9,8,120.3,No,No,No,Yes,Female,Yes,21,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,11.1,0.6,2.02,Graduate
Single,3rd phase - general contingent,4,Oral Hygiene,Daytime,Secondary Edu,127.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,4,7,121.8,Yes,No,No,Yes,Female,No,20,No,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,12.7,3.7,-1.7,Enrolled
Single,1st phase - general contingent,4,Nursing,Daytime,Secondary Edu,142.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,1,1,125.5,Yes,No,No,Yes,Female,No,18,No,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,12.7,3.7,-1.7,Graduate
Single,1st phase - general contingent,4,Advertising and Marketing Management,Daytime,Secondary Edu,125.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,4,7,114.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,126.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,3,7,123.9,No,No,No,Yes,Female,No,19,No,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,11.1,0.6,2.02,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary Edu,151.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 2nd Cycle,9,9,157.0,Yes,No,Yes,Yes,Female,Yes,18,No,0,6,8,5,11.6,0,0,6,12,4,11.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary Edu,115.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 2nd Cycle,7,8,116.4,Yes,No,No,Yes,Female,No,21,No,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general contingent,1,Veterinary Nursing,Daytime,Secondary Edu,138.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,3,3,131.0,Yes,No,No,Yes,Female,No,18,No,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general contingent,1,Management,Daytime,Secondary Edu,135.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,9,9,122.1,Yes,No,No,Yes,Female,No,20,No,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,16.2,0.3,-0.92,Graduate
Single,2nd phase - general contingent,2,Nursing,Daytime,Secondary Edu,127.0,Portuguese,Degree,Degree,1,10,118.8,Yes,No,No,Yes,Male,No,19,No,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,16.2,0.3,-0.92,Enrolled
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Tech Specialization Course,150.0,Portuguese,Master's,Doctorate,4,2,150.0,No,No,No,Yes,Male,No,21,No,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,16.2,0.3,-0.92,Enrolled
Single,Change of institution/course,1,Communication Design,Daytime,Secondary Edu,125.0,Portuguese,Professional Higher Technical,Degree,125,124,130.0,Yes,No,No,Yes,Male,No,20,No,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,1,Management,Daytime,Secondary Edu,143.0,Portuguese,12th Year of Schooling,12th Year of Schooling,4,6,138.8,No,No,No,No,Male,No,18,No,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled
Single,3rd phase - general contingent,1,Social Service (evening attendance),Evening,Secondary Edu,138.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,9,5,134.5,Yes,No,No,Yes,Female,No,19,No,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Management (evening attendance),Evening,Secondary Edu,130.0,Portuguese,Bachelor's Degree,Basic Ed. 1st Cycle,3,9,131.4,No,No,No,Yes,Male,No,34,No,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,13.9,-0.3,0.79,Graduate
Single,Over 23 years old,1,Biofuel Production Technologies,Daytime,Secondary Edu,130.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,9,6,102.5,No,No,Yes,No,Male,No,37,No,0,7,7,0,0.0,0,0,7,7,1,10.0,0,8.9,1.4,3.51,Dropout
Single,Over 23 years old,1,Informatics Engineering,Daytime,11th School not completed,133.1,Portuguese,Unknown,Basic Ed. 1st Cycle,0,0,128.8,Yes,No,No,Yes,Male,No,43,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,7.6,2.6,0.32,Dropout
Single,Change of course,1,Management,Daytime,Secondary Edu,140.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,6,6,122.9,No,No,No,Yes,Female,No,55,No,0,5,10,1,10.0,0,0,5,8,2,12.0,2,16.2,0.3,-0.92,Dropout
Divorced,Over 23 years old,1,Management (evening attendance),Evening,Secondary Edu,120.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,3,113.9,Yes,No,No,Yes,Female,No,39,No,0,5,8,5,11.0,0,0,5,5,5,11.6,0,7.6,2.6,0.32,Graduate
Single,Technological specialization diploma holders,1,Equinculture,Daytime,Tech Specialization Course,120.0,Spanish,Master's,Master's,3,6,120.0,No,No,Yes,No,Female,No,20,Yes,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general contingent,5,Journalism and Communication,Daytime,Secondary Edu,126.0,Portuguese,Degree,Degree,2,2,121.1,No,No,Yes,Yes,Female,No,18,No,0,6,6,4,12.75,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
Single,1st phase - general contingent,2,Management,Daytime,Secondary Edu,133.0,Portuguese,Degree,Basic Ed. 3rd Cycle,2,7,120.4,Yes,No,No,Yes,Female,No,22,No,0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,6,Nursing,Daytime,Secondary Edu,103.0,Portuguese,12th Year of Schooling,Degree,2,2,100.6,Yes,Yes,No,Yes,Female,No,22,No,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general contingent,1,Journalism and Communication,Daytime,Secondary Edu,120.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,5,5,121.4,No,No,No,No,Female,No,20,No,0,6,7,4,13.0,0,0,6,7,5,13.8,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary Edu,133.1,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,9,109.7,No,No,No,Yes,Female,No,29,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,16.2,0.3,-0.92,Dropout
Single,2nd phase - general contingent,1,Management (evening attendance),Evening,Secondary Edu,154.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,4,5,134.1,No,No,No,Yes,Female,No,24,No,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,7.6,2.6,0.32,Enrolled
Single,2nd phase - general contingent,2,Social Service,Daytime,Secondary Edu,130.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,9,127.6,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,11.1,0.6,2.02,Graduate
Single,2nd phase - general contingent,6,Nursing,Daytime,Secondary Edu,132.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 3rd Cycle,7,7,132.4,Yes,No,No,Yes,Female,Yes,22,No,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,11.1,0.6,2.02,Graduate
Single,Technological specialization diploma holders,1,Social Service (evening attendance),Evening,Tech Specialization Course,130.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,9,9,133.4,No,No,No,Yes,Female,Yes,21,No,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary Edu,139.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 2nd Cycle,9,9,126.1,No,No,No,Yes,Female,Yes,19,No,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,12.7,3.7,-1.7,Graduate
Single,Over 23 years old,1,Tourism,Daytime,Secondary Edu,130.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 2nd Cycle,9,7,113.5,No,No,No,Yes,Female,Yes,24,No,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,12.4,0.5,1.79,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,139.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 2nd Cycle,6,6,121.3,Yes,No,No,Yes,Female,Yes,19,No,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary Edu,127.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,7,7,121.8,Yes,No,No,Yes,Female,Yes,20,No,0,6,11,4,14.0,0,0,6,12,3,11.0,0,9.4,-0.8,-3.12,Enrolled
Single,1st phase - general contingent,3,Equinculture,Daytime,Secondary Edu,167.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,90,90,159.3,No,No,No,Yes,Female,No,19,No,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,7.6,2.6,0.32,Graduate
Single,Over 23 years old,1,Management (evening attendance),Evening,Secondary Edu,130.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,9,9,120.0,No,No,No,Yes,Female,No,27,No,0,5,12,5,10.6,0,0,5,10,5,11.0,0,9.4,-0.8,-3.12,Dropout
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,130.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,5,5,129.1,Yes,No,No,Yes,Female,No,18,No,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,Graduate
Married,Holders of other higher courses,1,Tourism,Daytime,Degree,130.0,Portuguese,12th Year of Schooling,Degree,4,3,130.0,No,No,No,Yes,Female,No,39,No,0,6,10,0,0.0,0,0,6,6,0,0.0,0,12.4,0.5,1.79,Dropout
Single,Over 23 years old,1,Equinculture,Daytime,Degree (1st cycle),129.0,Portuguese,Degree,Degree,2,2,155.3,Yes,No,No,Yes,Female,No,27,No,0,6,9,5,13.0,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary Edu,141.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,7,10,139.8,Yes,No,No,Yes,Female,No,18,No,0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,Graduate
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary Edu,125.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,4,9,115.2,Yes,No,No,Yes,Female,No,18,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,1st phase - general contingent,2,Nursing,Daytime,Secondary Edu,125.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,9,114.9,No,No,No,Yes,Female,No,18,No,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,16.2,0.3,-0.92,Graduate
Single,Technological specialization diploma holders,1,Social Service,Daytime,Tech Specialization Course,130.0,Portuguese,Basic Ed. 3rd Cycle,12th Year of Schooling,9,9,131.9,No,No,No,Yes,Female,Yes,21,No,3,6,7,6,12.0,0,2,6,7,6,12.0,0,13.9,-0.3,0.79,Graduate
Single,2nd phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary Edu,133.0,Portuguese,12th Year of Schooling,Basic Ed. 1st Cycle,4,7,126.0,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Enrolled
Single,2nd phase - general contingent,1,Communication Design,Daytime,Secondary Edu,127.0,Portuguese,12th Year of Schooling,12th Year of Schooling,3,4,130.2,Yes,No,No,Yes,Male,No,19,No,0,6,6,5,11.4,0,0,6,8,1,10.0,0,10.8,1.4,1.74,Enrolled
Single,Change of course,1,Communication Design,Daytime,Secondary Edu,116.0,Portuguese,12th Year of Schooling,12th Year of Schooling,3,3,120.9,No,No,No,Yes,Male,No,24,No,0,6,6,0,0.0,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
Divorced,Transfer,1,Nursing,Daytime,Basic Edu 3rd,133.1,Portuguese,12th Year of Schooling,12th Year of Schooling,5,5,126.0,Yes,No,No,Yes,Male,No,29,No,2,7,10,5,11.9,0,1,8,10,5,11.0,0,13.9,-0.3,0.79,Dropout
Single,1st phase - general contingent,3,Animation and Multimedia Design,Daytime,Secondary Edu,139.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,5,3,128.2,Yes,No,No,Yes,Male,Yes,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Graduate
Single,Technological specialization diploma holders,1,Agronomy,Daytime,Tech Specialization Course,130.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,9,9,130.0,Yes,No,No,Yes,Male,No,23,No,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,8.9,1.4,3.51,Graduate
Single,1st phase - general contingent,3,Management,Daytime,Secondary Edu,125.0,Portuguese,12th Year of Schooling,Basic Ed. 2nd Cycle,7,7,120.1,No,No,Yes,Yes,Male,No,19,No,0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,Dropout
Single,Over 23 years old,1,Tourism,Daytime,Secondary Edu,160.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,7,10,100.0,No,No,No,Yes,Male,No,26,No,0,6,7,6,12.0,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,Enrolled
Single,2nd phase - general contingent,1,Management,Daytime,Secondary Edu,148.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,5,5,134.0,No,No,No,Yes,Male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary Edu,150.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 3rd Cycle,8,4,130.8,No,No,No,Yes,Male,No,24,No,0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary Edu,141.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,5,10,135.8,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,2nd phase - general contingent,4,Tourism,Daytime,Secondary Edu,118.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,5,7,111.7,Yes,No,No,Yes,Male,No,18,No,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,12.4,0.5,1.79,Dropout
Single,1st phase - general contingent,2,Journalism and Communication,Daytime,Secondary Edu,142.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 2nd Cycle,9,9,132.9,Yes,No,No,Yes,Male,No,18,No,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,10.8,1.4,1.74,Graduate
Single,2nd phase - general contingent,3,Management,Daytime,Secondary Edu,120.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,4,7,115.5,Yes,No,Yes,Yes,Male,No,18,No,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,10.8,1.4,1.74,Dropout
Single,3rd phase - general contingent,4,Tourism,Daytime,Secondary Edu,106.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 1st Cycle,7,7,106.0,Yes,No,No,Yes,Male,Yes,21,No,0,6,8,4,10.5,0,0,6,11,1,11.0,0,9.4,-0.8,-3.12,Dropout
Single,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary Edu,121.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,9,8,120.3,Yes,No,Yes,Yes,Male,Yes,19,No,0,6,6,6,13.666666666666666,0,0,6,6,6,13.333333333333334,0,8.9,1.4,3.51,Graduate
Single,2nd phase - general contingent,4,Nursing,Daytime,Secondary Edu,150.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,9,9,130.8,No,No,No,Yes,Male,Yes,22,No,0,7,7,7,14.842857142857142,0,0,8,9,8,15.055555555555555,0,16.2,0.3,-0.92,Graduate
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary Edu,120.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,6,117.0,No,No,No,Yes,Male,No,33,No,0,6,8,6,12.0,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,Graduate
Single,1st phase - general contingent,6,Basic Education,Daytime,Secondary Edu,114.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,9,9,110.2,Yes,No,No,Yes,Male,No,20,No,0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,Dropout
Single,Over 23 years old,1,Management (evening attendance),Evening,Bachelor's,140.0,Portuguese,Degree,Degree,2,2,155.7,Yes,No,No,Yes,Male,No,35,No,0,1,1,0,0.0,1,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,Over 23 years old,1,Agronomy,Daytime,Master's,160.0,Portuguese,Degree,Degree,4,2,180.4,No,No,Yes,Yes,Male,No,24,No,6,12,17,6,12.166666666666666,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary Edu,120.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 3rd Cycle,4,4,125.5,No,No,No,Yes,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary Edu,130.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,6,110.0,Yes,No,No,Yes,Female,No,33,No,0,6,7,6,11.0,0,0,6,11,5,11.0,0,9.4,-0.8,-3.12,Graduate
Single,Transfer,1,Nursing,Daytime,Secondary Edu,160.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 2nd Cycle,9,7,161.0,Yes,No,No,Yes,Female,Yes,22,No,0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,Graduate
Single,Over 23 years old,1,Advertising and Marketing Management,Daytime,Secondary Edu,120.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,4,5,100.0,No,No,No,Yes,Female,Yes,25,No,0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,Graduate
Single,2nd phase - general contingent,1,Communication Design,Daytime,Secondary Edu,124.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 2nd Cycle,4,0,117.6,Yes,No,No,Yes,Male,No,20,No,0,6,9,6,10.666666666666666,1,0,6,6,5,11.2,0,7.6,2.6,0.32,Graduate
